Region,Sector,Subsector,Energético,Energia estimada
XI,"Sector Cmrcl., Púb. Y Residencial",Residencial,Kerosene,4.5766800000000005
XI,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Licuado,5.4378
XI,Industrial y Minero,"Todos, IM",Gas Licuado,3.078968
XI,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Licuado,4.626212
XI,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Licuado,1.283825
XI,Transporte,Terrestre,Gas Licuado,0.071912
XII,Transporte,Terrestre,Diesel,58.77346
XII,Transporte,Terrestre,Gasolina Motor,48.89301
XII,Transporte,Terrestre,Kerosene Aviacion,0.0
XII,Transporte,Terrestre,Petróleo Combustible,0.0
XII,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Diesel,81.67361
XII,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Motor,0.7189
XII,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Kerosene Aviacion,0.48705000000000004
XII,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Petróleo Combustible,11.602
XII,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Licuado,3.887436
XII,Industrial y Minero,"Todos, IM",Gas Licuado,1.290646
XII,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Licuado,0.34706
XII,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Licuado,0.76851
XII,Transporte,Terrestre,Gas Licuado,0.307545
XII,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Natural,86.863591
XII,Industrial y Minero,"Todos, IM",Gas Natural,8.991182
XII,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Natural,243.41478700000002
XII,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Natural,0.0
XII,Transporte,"Todos, T",Gas Natural,7.438098087
XII,Energético: Consumo Propio,"Todos, CP",Gas Natural,0.5146419999999999
XIII,Transporte,Terrestre,Diesel,1340.47816
XIII,Transporte,Terrestre,Gasolina Aviacion,0.0
XIII,Transporte,Terrestre,Gasolina Motor,1995.3567900000003
XIII,Transporte,Terrestre,Kerosene,67.48965
XIII,Transporte,Terrestre,Kerosene Aviacion,0.0
XIII,Transporte,Terrestre,Petróleo Combustible,0.0
XIII,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Diesel,752.78049
XIII,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Aviacion,0.31344
XIII,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Motor,28.994220000000002
XIII,Industrial y Minero y Cmrcl pub Residencial,Industrial y minero y comercial,Kerosene,9.70997
XIII,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Kerosene Aviacion,153.00325
XIII,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Petróleo Combustible,3.3396
XIII,"Sector Cmrcl., Púb. Y Residencial",Residencial,Kerosene,67.36839
XIII,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Licuado,166.54670000000002
XIII,Industrial y Minero,"Todos, IM",Gas Licuado,62.92590899999999
