Sector,Subsector,Energético,Unidad,SEC Tcal,BNE Tcal,Dif %,Emisiones SEC CO2eq (Millt),Emisiones SEC CO2 ajustadas con PCI (Millt),Emisiones BNE CO2eq (Millt),Emisiones BNE CO2 BNE ajustadas con PCI (Millt),Categoría INGEI
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Gas Altos Hornos,Mil m3,,0.0,,,,0.0,0.0,Industria de la energía
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Gas Corriente,Millones m3,,0.0,,,,0.0,0.0,Industria de la energía
Refinería y Extracción Petr-gn,Refinería y Extracción Petr-gn,Metanol,Mil ton,,0.0,,,,0.0,0.0,Industria de la energía
Producción de Metanol,Producción de Metanol,Petróleo Crudo,Mil m3,,0.0,,,,0.0,0.0,Metanol
Producción de Metanol,Producción de Metanol,Gas Natural,Millones m3,,1132.6,,,,0.23949564875308796,0.23926193121599998,Metanol
Producción de Metanol,Producción de Metanol,Carbón,Mil ton,,0.0,,,,0.0,0.0,Metanol
Producción de Metanol,Producción de Metanol,Biomasa,Mil ton,,0.0,,,,0.0,0.0,Metanol
Producción de Metanol,Producción de Metanol,Energía Hídrica,Gwh,,0.0,,,,0.0,0.0,Metanol
Producción de Metanol,Producción de Metanol,Energía Eólica,Gwh,,0.0,,,,0.0,0.0,Metanol
Producción de Metanol,Producción de Metanol,Energía Solar,Gwh,,0.0,,,,0.0,0.0,Metanol
Producción de Metanol,Producción de Metanol,Biogás,Millones m3,,0.0,,,,0.0,0.0,Metanol
Producción de Metanol,Producción de Metanol,Geotermia,Gwh,,0.0,,,,0.0,0.0,Metanol
Producción de Metanol,Producción de Metanol,Diésel,Mil m3,,0.0,,,,0.0,0.0,Metanol
Producción de Metanol,Producción de Metanol,Petróleo Combustible,Mil ton,,0.0,,,,0.0,0.0,Metanol
Producción de Metanol,Producción de Metanol,Gasolina de Motor,Mil m3,,0.0,,,,0.0,0.0,Metanol
Producción de Metanol,Producción de Metanol,Kerosene,Mil m3,,0.0,,,,0.0,0.0,Metanol
Producción de Metanol,Producción de Metanol,Gas Licuado,Mil ton,,0.0,,,,0.0,0.0,Metanol
Producción de Metanol,Producción de Metanol,Gasolina Aviación,Mil m3,,0.0,,,,0.0,0.0,Metanol
Producción de Metanol,Producción de Metanol,Kerosene de Aviación,Mil m3,,0.0,,,,0.0,0.0,Metanol
Producción de Metanol,Producción de Metanol,Nafta,Mil m3,,0.0,,,,0.0,0.0,Metanol
