nombre_region,cod_region,Sector,Subsector,Energético,BNE Tcal,Emisiones BNE CO2eq (Millt),Emisiones BNE CO2 BNE ajustadas con PCI (Millt)
Región Metropolitana de Santiago,13,Industrial y Minero,Agroindustria,Biomasa,49.484417500000006,0.0017096352400058682,0.0
Región de Los Ríos,14,Industrial y Minero,Industria Lactea,Biomasa,72.30365834999999,0.0024980163158736693,0.0
Región del Maule,7,Industrial y Minero,Minas Varias,Biomasa,7.2503305,0.00025049139003180875,0.0
Región del Maule,7,Industrial y Minero,Papel y Celulosa,Biomasa,1054.28628872,0.03642449650439379,0.0
Región del Biobío,8,Industrial y Minero,Papel y Celulosa,Biomasa,7282.390150816198,0.251599017676767,0.0
Región Metropolitana de Santiago,13,Industrial y Minero,Papel y Celulosa,Biomasa,226.933,0.007840299502772801,0.0
Región de Los Ríos,14,Industrial y Minero,Papel y Celulosa,Biomasa,1077.5308268175,0.03722757115853405,0.0
Región Aisén del Gral.Carlos Ibáñez del Campo,11,Industrial y Minero,Pesca,Biomasa,0.217777,7.5239692103632e-06,0.0
Región de Valparaíso,5,Industrial y Minero,Agroindustria,Gas Natural,7.591208851249999,0.0016052105674115333,0.0016036440844199786
Región del Libertador Gral. Bernardo O’Higgins,6,Industrial y Minero,Agroindustria,Gas Natural,0.512839582,0.00010844327070223598,0.00010833744375183312
Región Metropolitana de Santiago,13,Industrial y Minero,Agroindustria,Gas Natural,186.72415199900001,0.03948403842563193,0.03944550698565308
Región Metropolitana de Santiago,13,Industrial y Minero,Azúcar,Gas Natural,10.112501213,0.0021383542632207523,0.002136267499246444
Región de Valparaíso,5,Industrial y Minero,Cemento,Gas Natural,51.06472493,0.010797968767003651,0.010787431311818488
Región del Biobío,8,Industrial y Minero,Cemento,Gas Natural,25.9662075,0.005490723742600918,0.0054853654889682
Región de Los Lagos,10,Industrial y Minero,Cemento,Gas Natural,16.550569035,0.0034997256474219446,0.0034963103567347957
Región Metropolitana de Santiago,13,Industrial y Minero,Cemento,Gas Natural,27.184916139,0.005748427624058006,0.005742817883950332
Región de Antofagasta,2,Industrial y Minero,Cobre,Gas Natural,691.712122337,0.14626703468963023,0.14612429651763084
Región de Valparaíso,5,Industrial y Minero,Cobre,Gas Natural,503.920197376,0.10655720871477067,0.10645322232291157
Región del Libertador Gral. Bernardo O’Higgins,6,Industrial y Minero,Cobre,Gas Natural,311.319603595,0.06583055839002182,0.06576631607058032
Región Metropolitana de Santiago,13,Industrial y Minero,Cobre,Gas Natural,20.524316089,0.004340000350475453,0.0043357650576918245
Región de Coquimbo,4,Industrial y Minero,Construcción,Gas Natural,41.76045075287991,0.008830519376021858,0.008821901903218002
Región Metropolitana de Santiago,13,Industrial y Minero,Construcción,Gas Natural,468.068206364,0.09897607164386407,0.098879483485308
Región de La Araucanía,9,Industrial y Minero,Industria Lactea,Gas Natural,36.401241812,0.007697279730869656,0.00768976815698369
Región de Los Lagos,10,Industrial y Minero,Industria Lactea,Gas Natural,36.49525,0.00771715837467432,0.00770962740174
Región Metropolitana de Santiago,13,Industrial y Minero,Industria Lactea,Gas Natural,107.06128600612,0.02263880641742505,0.02261671379859861
Región de Los Ríos,14,Industrial y Minero,Industria Lactea,Gas Natural,24.314623,0.005141485440201091,0.00513646799908968
Región de Antofagasta,2,Industrial y Minero,Minas Varias,Gas Natural,58.946,0.012464515726116482,0.012452351931360002
Región del Libertador Gral. Bernardo O’Higgins,6,Industrial y Minero,Minas Varias,Gas Natural,61.225883412,0.012946611926750725,0.012933977666926348
Región del Biobío,8,Industrial y Minero,Minas Varias,Gas Natural,3.507414726,0.00074166569419875,0.0007409419220538561
