Region,Año,variable,factor,pib,valor_salitre,demanda,demanda_regional
VIII,2038,cemento,0.1493955814072971,15953.4870675598,,3802.114,568.019031606824
VIII,2039,cemento,0.1493955814072971,16274.41998859253,,3802.114,568.019031606824
VIII,2040,cemento,0.1493955814072971,16601.80904923701,,3802.114,568.019031606824
VIII,2041,cemento,0.1493955814072971,16927.48322176206,,3802.114,568.019031606824
VIII,2042,cemento,0.1493955814072971,17251.082333954,,3802.114,568.019031606824
VIII,2043,cemento,0.1493955814072971,17572.24208068148,,3802.114,568.019031606824
VIII,2044,cemento,0.1493955814072971,17890.59466936476,,3802.114,568.019031606824
VIII,2045,cemento,0.1493955814072971,18214.71478448298,,3802.114,568.019031606824
VIII,2046,cemento,0.1493955814072971,18535.59955769898,,3802.114,568.019031606824
VIII,2047,cemento,0.1493955814072971,18852.86949023541,,3802.114,568.019031606824
VIII,2048,cemento,0.1493955814072971,19175.57006502209,,3802.114,568.019031606824
VIII,2049,cemento,0.1493955814072971,19494.20645217991,,3802.114,568.019031606824
VIII,2050,cemento,0.1493955814072971,19818.13755270879,,3802.114,568.019031606824
VIII,2017,energia_comercial,0.06238326694950455,10075.57448251563,,,
VIII,2018,energia_comercial,0.06871265593059822,10515.59234908449,,,
VIII,2019,energia_comercial,0.06119051254484028,10654.68263825134,,,
VIII,2020,energia_comercial,0.04769310331439074,10047.04949988198,,,
VIII,2021,energia_comercial,0.06445426494853479,11198.84068645881,,,
VIII,2022,energia_comercial,0.06445426494853479,11440.92365411503,,,
VIII,2023,energia_comercial,0.06445426494853479,11464.24113304354,,,
VIII,2024,energia_comercial,0.06445426494853479,11687.29844510509,,,
VIII,2025,energia_comercial,0.06445426494853479,11936.31723817632,,,
VIII,2026,energia_comercial,0.06445426494853479,12193.56621966274,,,
VIII,2027,energia_comercial,0.06445426494853479,12755.10825888302,,,
VIII,2028,energia_comercial,0.06445426494853479,13006.66180294702,,,
VIII,2029,energia_comercial,0.06445426494853479,13275.32777441802,,,
VIII,2030,energia_comercial,0.06445426494853479,13549.69666909294,,,
VIII,2031,energia_comercial,0.06445426494853479,13834.31902526941,,,
VIII,2032,energia_comercial,0.06445426494853479,14125.96257930317,,,
VIII,2033,energia_comercial,0.06445426494853479,14423.03326021513,,,
VIII,2034,energia_comercial,0.06445426494853479,14724.19001982262,,,
VIII,2035,energia_comercial,0.06445426494853479,15028.1644898719,,,
VIII,2036,energia_comercial,0.06445426494853479,15330.4828925553,,,
VIII,2037,energia_comercial,0.06445426494853479,15638.88297052663,,,
VIII,2038,energia_comercial,0.06445426494853479,15953.4870675598,,,
VIII,2039,energia_comercial,0.06445426494853479,16274.41998859253,,,
VIII,2040,energia_comercial,0.06445426494853479,16601.80904923701,,,
VIII,2041,energia_comercial,0.06445426494853479,16927.48322176206,,,
VIII,2042,energia_comercial,0.06445426494853479,17251.082333954,,,
VIII,2043,energia_comercial,0.06445426494853479,17572.24208068148,,,
VIII,2044,energia_comercial,0.06445426494853479,17890.59466936476,,,
VIII,2045,energia_comercial,0.06445426494853479,18214.71478448298,,,
VIII,2046,energia_comercial,0.06445426494853479,18535.59955769898,,,
VIII,2047,energia_comercial,0.06445426494853479,18852.86949023541,,,
VIII,2048,energia_comercial,0.06445426494853479,19175.57006502209,,,
VIII,2049,energia_comercial,0.06445426494853479,19494.20645217991,,,
VIII,2050,energia_comercial,0.06445426494853479,19818.13755270879,,,
VIII,2017,energia_publico,0.07104438163893144,10075.57448251563,,2997.35997009,212.94558562433008
VIII,2018,energia_publico,0.06344834582754137,10515.59234908449,,2529.724446609,160.50683153683354
VIII,2019,energia_publico,0.0739191773216767,10654.68263825134,,2902.519092445,214.55182347399406
VIII,2020,energia_publico,0.07333885013353995,10047.04949988198,,2803.835251566,205.63005331373517
VIII,2021,energia_publico,0.07465958830345339,11198.84068645881,,2881.986959141,215.1679598653886
VIII,2022,energia_publico,0.07465958830345339,11440.92365411503,,,
VIII,2023,energia_publico,0.07465958830345339,11464.24113304354,,,
VIII,2024,energia_publico,0.07465958830345339,11687.29844510509,,,
VIII,2025,energia_publico,0.07465958830345339,11936.31723817632,,,
VIII,2026,energia_publico,0.07465958830345339,12193.56621966274,,,
VIII,2027,energia_publico,0.07465958830345339,12755.10825888302,,,
VIII,2028,energia_publico,0.07465958830345339,13006.66180294702,,,
VIII,2029,energia_publico,0.07465958830345339,13275.32777441802,,,
VIII,2030,energia_publico,0.07465958830345339,13549.69666909294,,,
VIII,2031,energia_publico,0.07465958830345339,13834.31902526941,,,
VIII,2032,energia_publico,0.07465958830345339,14125.96257930317,,,
VIII,2033,energia_publico,0.07465958830345339,14423.03326021513,,,
VIII,2034,energia_publico,0.07465958830345339,14724.19001982262,,,
VIII,2035,energia_publico,0.07465958830345339,15028.1644898719,,,
VIII,2036,energia_publico,0.07465958830345339,15330.4828925553,,,
VIII,2037,energia_publico,0.07465958830345339,15638.88297052663,,,
VIII,2038,energia_publico,0.07465958830345339,15953.4870675598,,,
VIII,2039,energia_publico,0.07465958830345339,16274.41998859253,,,
VIII,2040,energia_publico,0.07465958830345339,16601.80904923701,,,
VIII,2041,energia_publico,0.07465958830345339,16927.48322176206,,,
VIII,2042,energia_publico,0.07465958830345339,17251.082333954,,,
VIII,2043,energia_publico,0.07465958830345339,17572.24208068148,,,
VIII,2044,energia_publico,0.07465958830345339,17890.59466936476,,,
VIII,2045,energia_publico,0.07465958830345339,18214.71478448298,,,
VIII,2046,energia_publico,0.07465958830345339,18535.59955769898,,,
VIII,2047,energia_publico,0.07465958830345339,18852.86949023541,,,
VIII,2048,energia_publico,0.07465958830345339,19175.57006502209,,,
VIII,2049,energia_publico,0.07465958830345339,19494.20645217991,,,
VIII,2050,energia_publico,0.07465958830345339,19818.13755270879,,,
VIII,2017,manufactura,0.1565273804031864,10075.57448251563,,33099.1337383063,5180.9206976718115
VIII,2018,manufactura,0.133851412919076,10515.59234908449,,33734.22915121917,4515.374235626568
VIII,2019,manufactura,0.1457478516486763,10654.68263825134,,32710.83307472654,4767.533646279858
VIII,2020,manufactura,0.1398971450137226,10047.04949988198,,30412.88599594869,4254.675922461048
VIII,2021,manufactura,0.1318846159675275,11198.84068645881,,30504.20938061051,4023.0359395548676
VIII,2022,manufactura,0.1318846159675275,11440.92365411503,,32993.04784902278,4351.27544516663
VIII,2023,manufactura,0.1318846159675275,11464.24113304354,,,
VIII,2024,manufactura,0.1318846159675275,11687.29844510509,,,
VIII,2025,manufactura,0.1318846159675275,11936.31723817632,,,
VIII,2026,manufactura,0.1318846159675275,12193.56621966274,,,
VIII,2027,manufactura,0.1318846159675275,12755.10825888302,,,
VIII,2028,manufactura,0.1318846159675275,13006.66180294702,,,
VIII,2029,manufactura,0.1318846159675275,13275.32777441802,,,
VIII,2030,manufactura,0.1318846159675275,13549.69666909294,,,
VIII,2031,manufactura,0.1318846159675275,13834.31902526941,,,
VIII,2032,manufactura,0.1318846159675275,14125.96257930317,,,
VIII,2033,manufactura,0.1318846159675275,14423.03326021513,,,
VIII,2034,manufactura,0.1318846159675275,14724.19001982262,,,
VIII,2035,manufactura,0.1318846159675275,15028.1644898719,,,
